Index	Label
0	1
1	0
2	0
3	0
4	8
5	3
6	2
7	4
8	7
9	2
10	9
11	7
12	9
13	4
14	0
15	2
16	6
17	3
18	7
19	4
20	5
21	5
22	7
23	8
24	6
25	5
26	3
27	5
28	8
29	8
30	0
31	2
32	6
33	2
34	4
35	1
36	8
37	9
38	0
39	2
40	2
41	2
42	0
43	1
44	8
45	9
46	0
47	4
48	8
49	9
50	4
51	7
52	2
53	1
54	6
55	3
56	0
57	6
58	9
59	3
60	6
61	6
62	0
63	8
64	0
65	6
66	6
67	9
68	2
69	8
70	6
71	5
72	4
73	0
74	8
75	4
76	7
77	7
78	7
79	5
80	9
81	3
82	2
83	2
84	9
85	4
86	6
87	5
88	3
89	1
90	0
91	5
92	7
93	7
94	7
95	8
96	8
97	9
98	6
99	8
100	0
101	7
102	1
103	1
104	8
105	7
106	1
107	3
108	2
109	8
110	1
111	6
112	8
113	2
114	0
115	0
116	6
117	1
118	2
119	7
120	1
121	1
122	4
123	6
124	3
125	6
126	6
127	3
128	3
129	3
130	5
131	5
132	6
133	3
134	6
135	7
136	0
137	0
138	7
139	4
140	0
141	0
142	7
143	0
144	4
145	5
146	6
147	6
148	2
149	1
150	7
151	2
152	2
153	2
154	7
155	2
156	0
157	2
158	8
159	7
160	3
161	5
162	2
163	7
164	1
165	2
166	0
167	2
168	4
169	6
170	3
171	4
172	0
173	2
174	7
175	0
176	4
177	3
178	4
179	7
180	0
181	4
182	4
183	8
184	7
185	7
186	6
187	7
188	0
189	3
190	7
191	6
192	9
193	1
194	9
195	3
196	8
197	2
198	6
199	6
200	1
201	3
202	9
203	3
204	8
205	4
206	1
207	1
208	2
209	9
210	1
211	5
212	8
213	3
214	2
215	2
216	1
217	5
218	9
219	0
220	1
221	7
222	5
223	9
224	3
225	7
226	5
227	1
228	7
229	5
230	4
231	1
232	1
233	7
234	2
235	2
236	0
237	3
238	6
239	4
240	3
241	0
242	5
243	7
244	1
245	3
246	8
247	1
248	8
249	5
250	4
251	4
252	6
253	4
254	3
255	0
256	3
257	7
258	0
259	6
260	5
261	4
262	0
263	7
264	6
265	6
266	4
267	4
268	5
269	3
270	2
271	6
272	0
273	1
274	1
275	1
276	9
277	3
278	2
279	7
280	4
281	6
282	4
283	8
284	1
285	0
286	9
287	6
288	2
289	1
290	8
291	3
292	8
293	3
294	5
295	6
296	1
297	5
298	3
299	6
300	4
301	7
302	0
303	6
304	1
305	0
306	7
307	5
308	5
309	3
310	6
311	7
312	3
313	6
314	9
315	2
316	6
317	5
318	8
319	0
320	0
321	6
322	9
323	9
324	3
325	8
326	4
327	4
328	9
329	0
330	6
331	2
332	9
333	3
334	8
335	5
336	7
337	0
338	2
339	5
340	1
341	9
342	2
343	3
344	4
345	9
346	0
347	1
348	7
349	3
350	9
351	2
352	7
353	9
354	5
355	8
356	0
357	3
358	2
359	6
360	8
361	7
362	3
363	4
364	7
365	3
366	5
367	4
368	2
369	7
370	9
371	9
372	4
373	6
374	8
375	0
376	6
377	9
378	8
379	9
380	8
381	7
382	8
383	1
384	7
385	0
386	4
387	2
388	5
389	2
390	5
391	6
392	8
393	1
394	4
395	5
396	9
397	1
398	7
399	4
400	9
401	0
402	5
403	3
404	4
405	9
406	7
407	3
408	1
409	8
410	2
411	8
412	1
413	6
414	0
415	1
416	4
417	0
418	3
419	3
420	3
421	6
422	1
423	2
424	9
425	6
426	9
427	4
428	8
429	3
430	2
431	5
432	4
433	0
434	6
435	1
436	3
437	5
438	2
439	1
440	5
441	8
442	5
443	1
444	3
445	6
446	1
447	2
448	4
449	5
450	0
451	4
452	3
453	6
454	8
455	0
456	9
457	4
458	9
459	5
460	4
461	2
462	7
463	9
464	4
465	5
466	9
467	3
468	3
469	1
470	3
471	5
472	0
473	2
474	0
475	4
476	4
477	4
478	0
479	3
480	7
481	0
482	6
483	2
484	6
485	1
486	2
487	8
488	2
489	9
490	0
491	1
492	0
493	2
494	0
495	4
496	8
497	1
498	8
499	2
